,instrument,pitch,path_to_audio
0,cello,F2,./data/philharmonia/all-samples/cello/cello_F2_phrase_mezzo-forte_arco-detache.mp3
1,cello,As2,./data/philharmonia/all-samples/cello/cello_As2_05_forte_arco-normal.mp3
2,cello,F5,./data/philharmonia/all-samples/cello/cello_F5_15_fortissimo_arco-normal.mp3
3,cello,D5,./data/philharmonia/all-samples/cello/cello_D5_025_pianissimo_arco-normal.mp3
4,cello,C3,./data/philharmonia/all-samples/cello/cello_C3_1_fortissimo_arco-normal.mp3
5,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_1_mezzo-piano_arco-normal.mp3
6,cello,As2,./data/philharmonia/all-samples/cello/cello_As2_1_forte_arco-normal.mp3
7,cello,C6,./data/philharmonia/all-samples/cello/cello_C6_15_mezzo-piano_arco-normal.mp3
8,cello,Gs5,./data/philharmonia/all-samples/cello/cello_Gs5_025_mezzo-piano_arco-normal.mp3
9,cello,F3,./data/philharmonia/all-samples/cello/cello_F3_05_forte_arco-normal.mp3
10,cello,B5,./data/philharmonia/all-samples/cello/cello_B5_15_mezzo-piano_arco-normal.mp3
11,cello,E4,./data/philharmonia/all-samples/cello/cello_E4_05_forte_arco-normal.mp3
12,cello,A4,./data/philharmonia/all-samples/cello/cello_A4_1_forte_arco-normal.mp3
13,cello,C3,./data/philharmonia/all-samples/cello/cello_C3_15_forte_arco-normal.mp3
14,cello,Gs4,./data/philharmonia/all-samples/cello/cello_Gs4_025_fortissimo_arco-normal.mp3
15,cello,G5,./data/philharmonia/all-samples/cello/cello_G5_05_pianissimo_arco-normal.mp3
16,cello,As5,./data/philharmonia/all-samples/cello/cello_As5_05_mezzo-piano_arco-normal.mp3
17,cello,Ds4,./data/philharmonia/all-samples/cello/cello_Ds4_15_fortissimo_arco-normal.mp3
18,cello,E4,./data/philharmonia/all-samples/cello/cello_E4_025_mezzo-piano_arco-normal.mp3
19,cello,As5,./data/philharmonia/all-samples/cello/cello_As5_05_pianissimo_arco-normal.mp3
20,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_1_fortissimo_arco-normal.mp3
21,cello,F4,./data/philharmonia/all-samples/cello/cello_F4_1_pianissimo_arco-normal.mp3
22,cello,Gs5,./data/philharmonia/all-samples/cello/cello_Gs5_025_forte_arco-normal.mp3
23,cello,C2,./data/philharmonia/all-samples/cello/cello_C2_phrase_forte_con-sord.mp3
24,cello,Gs2,./data/philharmonia/all-samples/cello/cello_Gs2_15_pianissimo_arco-normal.mp3
25,cello,G3,./data/philharmonia/all-samples/cello/cello_G3_1_mezzo-piano_arco-normal.mp3
26,cello,Cs4,./data/philharmonia/all-samples/cello/cello_Cs4_025_pianissimo_arco-normal.mp3
27,cello,C6,./data/philharmonia/all-samples/cello/cello_C6_1_mezzo-piano_arco-normal.mp3
28,cello,F5,./data/philharmonia/all-samples/cello/cello_F5_1_forte_arco-normal.mp3
29,cello,A3,./data/philharmonia/all-samples/cello/cello_A3_025_fortissimo_arco-normal.mp3
30,cello,Gs2,./data/philharmonia/all-samples/cello/cello_Gs2_025_fortissimo_arco-normal.mp3
31,cello,A5,./data/philharmonia/all-samples/cello/cello_A5_05_pianissimo_arco-normal.mp3
32,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_05_mezzo-piano_arco-normal.mp3
33,cello,B3,./data/philharmonia/all-samples/cello/cello_B3_15_mezzo-piano_arco-normal.mp3
34,cello,C3,./data/philharmonia/all-samples/cello/cello_C3_15_piano_arco-normal.mp3
35,cello,Ds5,./data/philharmonia/all-samples/cello/cello_Ds5_05_fortissimo_arco-normal.mp3
36,cello,As4,./data/philharmonia/all-samples/cello/cello_As4_15_pianissimo_arco-normal.mp3
37,cello,D3,./data/philharmonia/all-samples/cello/cello_D3_025_pianissimo_arco-normal.mp3
38,cello,Gs3,./data/philharmonia/all-samples/cello/cello_Gs3_05_pianissimo_arco-normal.mp3
39,cello,E4,./data/philharmonia/all-samples/cello/cello_E4_1_forte_arco-normal.mp3
40,cello,B2,./data/philharmonia/all-samples/cello/cello_B2_025_mezzo-piano_arco-normal.mp3
41,cello,Ds4,./data/philharmonia/all-samples/cello/cello_Ds4_15_mezzo-piano_arco-normal.mp3
42,cello,Cs4,./data/philharmonia/all-samples/cello/cello_Cs4_1_pianissimo_arco-normal.mp3
43,cello,Cs2,./data/philharmonia/all-samples/cello/cello_Cs2_025_pianissimo_arco-normal.mp3
44,cello,G5,./data/philharmonia/all-samples/cello/cello_G5_025_mezzo-piano_arco-normal.mp3
45,cello,A5,./data/philharmonia/all-samples/cello/cello_A5_025_fortissimo_arco-normal.mp3
46,cello,E4,./data/philharmonia/all-samples/cello/cello_E4_05_mezzo-piano_arco-normal.mp3
47,cello,E5,./data/philharmonia/all-samples/cello/cello_E5_1_pianissimo_arco-normal.mp3
48,cello,A3,./data/philharmonia/all-samples/cello/cello_A3_1_mezzo-piano_arco-normal.mp3
49,cello,G4,./data/philharmonia/all-samples/cello/cello_G4_15_pianissimo_arco-normal.mp3
50,cello,Gs5,./data/philharmonia/all-samples/cello/cello_Gs5_1_mezzo-piano_arco-normal.mp3
51,cello,Cs5,./data/philharmonia/all-samples/cello/cello_Cs5_15_forte_arco-normal.mp3
52,cello,B5,./data/philharmonia/all-samples/cello/cello_B5_1_forte_arco-normal.mp3
53,cello,Ds4,./data/philharmonia/all-samples/cello/cello_Ds4_025_forte_arco-normal.mp3
54,cello,C4,./data/philharmonia/all-samples/cello/cello_C4_long_mezzo-forte_arco-harmonic.mp3
55,cello,C2,./data/philharmonia/all-samples/cello/cello_C2_05_forte_arco-normal.mp3
56,cello,As4,./data/philharmonia/all-samples/cello/cello_As4_15_fortissimo_arco-normal.mp3
57,cello,Ds2,./data/philharmonia/all-samples/cello/cello_Ds2_1_mezzo-piano_molto-vibrato.mp3
58,cello,Ds5,./data/philharmonia/all-samples/cello/cello_Ds5_05_pianissimo_arco-normal.mp3
59,cello,A5,./data/philharmonia/all-samples/cello/cello_A5_05_fortissimo_arco-normal.mp3
60,cello,F2,./data/philharmonia/all-samples/cello/cello_F2_15_forte_arco-normal.mp3
61,cello,As2,./data/philharmonia/all-samples/cello/cello_As2_025_mezzo-forte_arco-col-legno-battuto.mp3
62,cello,C5,./data/philharmonia/all-samples/cello/cello_C5_025_mezzo-piano_arco-normal.mp3
63,cello,B2,./data/philharmonia/all-samples/cello/cello_B2_025_piano_arco-normal.mp3
64,cello,E5,./data/philharmonia/all-samples/cello/cello_E5_15_forte_arco-normal.mp3
65,cello,Gs2,./data/philharmonia/all-samples/cello/cello_Gs2_025_pianissimo_arco-normal.mp3
66,cello,Cs4,./data/philharmonia/all-samples/cello/cello_Cs4_1_fortissimo_arco-normal.mp3
67,cello,Gs3,./data/philharmonia/all-samples/cello/cello_Gs3_05_fortissimo_arco-normal.mp3
68,cello,Fs3,./data/philharmonia/all-samples/cello/cello_Fs3_025_mezzo-forte_arco-col-legno-battuto.mp3
69,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_15_forte_arco-normal.mp3
70,cello,C2,./data/philharmonia/all-samples/cello/cello_C2_025_mezzo-forte_arco-col-legno-battuto.mp3
71,cello,D3,./data/philharmonia/all-samples/cello/cello_D3_025_fortissimo_arco-normal.mp3
72,cello,C6,./data/philharmonia/all-samples/cello/cello_C6_1_forte_arco-normal.mp3
73,cello,Cs4,./data/philharmonia/all-samples/cello/cello_Cs4_1_mezzo-piano_non-vibrato.mp3
74,cello,E5,./data/philharmonia/all-samples/cello/cello_E5_1_fortissimo_arco-normal.mp3
75,cello,F4,./data/philharmonia/all-samples/cello/cello_F4_05_pianissimo_arco-normal.mp3
76,cello,A5,./data/philharmonia/all-samples/cello/cello_A5_025_pianissimo_arco-normal.mp3
77,cello,G3,./data/philharmonia/all-samples/cello/cello_G3_phrase_fortissimo_arco-tremolo.mp3
78,cello,Cs2,./data/philharmonia/all-samples/cello/cello_Cs2_025_fortissimo_arco-normal.mp3
79,cello,Fs4,./data/philharmonia/all-samples/cello/cello_Fs4_1_mezzo-forte_arco-harmonic.mp3
80,cello,Gs3,./data/philharmonia/all-samples/cello/cello_Gs3_1_pianissimo_arco-normal.mp3
81,cello,G5,./data/philharmonia/all-samples/cello/cello_G5_15_mezzo-piano_arco-normal.mp3
82,cello,C3,./data/philharmonia/all-samples/cello/cello_C3_1_mezzo-piano_non-vibrato.mp3
83,cello,G3,./data/philharmonia/all-samples/cello/cello_G3_025_forte_arco-normal.mp3
84,cello,Cs4,./data/philharmonia/all-samples/cello/cello_Cs4_025_mezzo-piano_arco-normal.mp3
85,cello,As4,./data/philharmonia/all-samples/cello/cello_As4_025_forte_arco-normal.mp3
86,cello,As6,./data/philharmonia/all-samples/cello/cello_As6_1_mezzo-forte_arco-harmonic.mp3
87,cello,C3,./data/philharmonia/all-samples/cello/cello_C3_1_pianissimo_arco-normal.mp3
88,cello,E5,./data/philharmonia/all-samples/cello/cello_E5_025_forte_arco-normal.mp3
89,cello,D5,./data/philharmonia/all-samples/cello/cello_D5_025_fortissimo_arco-normal.mp3
90,cello,A4,./data/philharmonia/all-samples/cello/cello_A4_025_mezzo-piano_arco-normal.mp3
91,cello,C6,./data/philharmonia/all-samples/cello/cello_C6_05_forte_arco-normal.mp3
92,cello,G5,./data/philharmonia/all-samples/cello/cello_G5_05_fortissimo_arco-normal.mp3
93,cello,Gs4,./data/philharmonia/all-samples/cello/cello_Gs4_025_pianissimo_arco-normal.mp3
94,cello,B2,./data/philharmonia/all-samples/cello/cello_B2_025_forte_arco-normal.mp3
95,cello,F2,./data/philharmonia/all-samples/cello/cello_F2_15_piano_arco-normal.mp3
96,cello,Cs5,./data/philharmonia/all-samples/cello/cello_Cs5_1_forte_arco-normal.mp3
97,cello,G3,./data/philharmonia/all-samples/cello/cello_G3_15_mezzo-piano_arco-normal.mp3
98,cello,F4,./data/philharmonia/all-samples/cello/cello_F4_1_fortissimo_arco-normal.mp3
99,cello,Cs4,./data/philharmonia/all-samples/cello/cello_Cs4_05_forte_arco-normal.mp3
100,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_1_pianissimo_arco-normal.mp3
101,cello,G3,./data/philharmonia/all-samples/cello/cello_G3_025_piano_arco-normal.mp3
102,cello,As5,./data/philharmonia/all-samples/cello/cello_As5_05_fortissimo_arco-normal.mp3
103,cello,Ds4,./data/philharmonia/all-samples/cello/cello_Ds4_15_pianissimo_arco-normal.mp3
104,cello,A3,./data/philharmonia/all-samples/cello/cello_A3_025_pianissimo_arco-normal.mp3
105,cello,D3,./data/philharmonia/all-samples/cello/cello_D3_025_mezzo-piano_arco-normal.mp3
106,cello,Cs4,./data/philharmonia/all-samples/cello/cello_Cs4_025_fortissimo_arco-normal.mp3
107,cello,C2,./data/philharmonia/all-samples/cello/cello_C2_phrase_mezzo-forte_arco-legato.mp3
108,cello,C2,./data/philharmonia/all-samples/cello/cello_C2_phrase_mezzo-forte_arco-glissando.mp3
109,cello,Gs2,./data/philharmonia/all-samples/cello/cello_Gs2_15_fortissimo_arco-normal.mp3
110,cello,Gs4,./data/philharmonia/all-samples/cello/cello_Gs4_1_forte_arco-normal.mp3
111,cello,As2,./data/philharmonia/all-samples/cello/cello_As2_05_pianissimo_arco-normal.mp3
112,cello,Ds4,./data/philharmonia/all-samples/cello/cello_Ds4_05_forte_arco-normal.mp3
113,cello,Ds3,./data/philharmonia/all-samples/cello/cello_Ds3_15_fortissimo_arco-normal.mp3
114,cello,A4,./data/philharmonia/all-samples/cello/cello_A4_1_pianissimo_arco-normal.mp3
115,cello,G2,./data/philharmonia/all-samples/cello/cello_G2_025_pianissimo_arco-normal.mp3
116,cello,G4,./data/philharmonia/all-samples/cello/cello_G4_1_mezzo-piano_arco-normal.mp3
117,cello,Gs5,./data/philharmonia/all-samples/cello/cello_Gs5_15_pianissimo_arco-normal.mp3
118,cello,C7,./data/philharmonia/all-samples/cello/cello_C7_1_mezzo-forte_arco-harmonic.mp3
119,cello,Fs3,./data/philharmonia/all-samples/cello/cello_Fs3_1_mezzo-piano_non-vibrato.mp3
120,cello,Gs2,./data/philharmonia/all-samples/cello/cello_Gs2_15_forte_arco-normal.mp3
121,cello,Fs3,./data/philharmonia/all-samples/cello/cello_Fs3_15_piano_arco-normal.mp3
122,cello,B4,./data/philharmonia/all-samples/cello/cello_B4_025_fortissimo_arco-normal.mp3
123,cello,F2,./data/philharmonia/all-samples/cello/cello_F2_15_fortissimo_arco-normal.mp3
124,cello,Ds4,./data/philharmonia/all-samples/cello/cello_Ds4_1_mezzo-piano_arco-major-trill.mp3
125,cello,As4,./data/philharmonia/all-samples/cello/cello_As4_1_mezzo-piano_arco-normal.mp3
126,cello,F5,./data/philharmonia/all-samples/cello/cello_F5_05_mezzo-piano_arco-normal.mp3
127,cello,Cs6,./data/philharmonia/all-samples/cello/cello_Cs6_1_mezzo-forte_arco-harmonic.mp3
128,cello,D3,./data/philharmonia/all-samples/cello/cello_D3_phrase_fortissimo_arco-au-talon.mp3
129,cello,Ds5,./data/philharmonia/all-samples/cello/cello_Ds5_1_forte_arco-normal.mp3
130,cello,D3,./data/philharmonia/all-samples/cello/cello_D3_1_fortissimo_arco-normal.mp3
131,cello,A2,./data/philharmonia/all-samples/cello/cello_A2_15_piano_arco-normal.mp3
132,cello,Gs5,./data/philharmonia/all-samples/cello/cello_Gs5_15_mezzo-piano_arco-normal.mp3
133,cello,B5,./data/philharmonia/all-samples/cello/cello_B5_025_forte_arco-normal.mp3
134,cello,E2,./data/philharmonia/all-samples/cello/cello_E2_025_forte_arco-normal.mp3
135,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_025_forte_arco-normal.mp3
136,cello,Ds3,./data/philharmonia/all-samples/cello/cello_Ds3_025_fortissimo_arco-normal.mp3
137,cello,Ds2,./data/philharmonia/all-samples/cello/cello_Ds2_1_pianissimo_arco-normal.mp3
138,cello,G2,./data/philharmonia/all-samples/cello/cello_G2_05_pianissimo_arco-normal.mp3
139,cello,F3,./data/philharmonia/all-samples/cello/cello_F3_05_fortissimo_arco-normal.mp3
140,cello,G4,./data/philharmonia/all-samples/cello/cello_G4_025_pianissimo_arco-normal.mp3
141,cello,A4,./data/philharmonia/all-samples/cello/cello_A4_1_mezzo-piano_arco-normal.mp3
142,cello,Fs5,./data/philharmonia/all-samples/cello/cello_Fs5_1_fortissimo_arco-normal.mp3
143,cello,B5,./data/philharmonia/all-samples/cello/cello_B5_1_pianissimo_arco-normal.mp3
144,cello,G4,./data/philharmonia/all-samples/cello/cello_G4_025_forte_arco-normal.mp3
145,cello,A4,./data/philharmonia/all-samples/cello/cello_A4_15_mezzo-piano_arco-normal.mp3
146,cello,Gs2,./data/philharmonia/all-samples/cello/cello_Gs2_1_mezzo-piano_arco-normal.mp3
147,cello,G3,./data/philharmonia/all-samples/cello/cello_G3_15_pianissimo_arco-normal.mp3
148,cello,As4,./data/philharmonia/all-samples/cello/cello_As4_025_mezzo-piano_arco-normal.mp3
149,cello,E3,./data/philharmonia/all-samples/cello/cello_E3_025_mezzo-forte_arco-col-legno-battuto.mp3
150,cello,C6,./data/philharmonia/all-samples/cello/cello_C6_15_pianissimo_arco-normal.mp3
151,cello,G2,./data/philharmonia/all-samples/cello/cello_G2_1_fortissimo_arco-normal.mp3
152,cello,A2,./data/philharmonia/all-samples/cello/cello_A2_05_pianissimo_arco-normal.mp3
153,cello,E2,./data/philharmonia/all-samples/cello/cello_E2_025_piano_arco-normal.mp3
154,cello,Fs2,./data/philharmonia/all-samples/cello/cello_Fs2_1_mezzo-piano_molto-vibrato.mp3
155,cello,Ds5,./data/philharmonia/all-samples/cello/cello_Ds5_025_fortissimo_arco-normal.mp3
156,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_15_pianissimo_arco-normal.mp3
157,cello,Ds2,./data/philharmonia/all-samples/cello/cello_Ds2_05_fortissimo_arco-normal.mp3
158,cello,A4,./data/philharmonia/all-samples/cello/cello_A4_025_mezzo-forte_arco-col-legno-battuto.mp3
159,cello,Fs3,./data/philharmonia/all-samples/cello/cello_Fs3_15_forte_arco-normal.mp3
160,cello,G5,./data/philharmonia/all-samples/cello/cello_G5_05_forte_arco-normal.mp3
161,cello,F3,./data/philharmonia/all-samples/cello/cello_F3_05_mezzo-piano_arco-normal.mp3
162,cello,Gs2,./data/philharmonia/all-samples/cello/cello_Gs2_15_piano_arco-normal.mp3
163,cello,D2,./data/philharmonia/all-samples/cello/cello_D2_05_forte_arco-normal.mp3
164,cello,B5,./data/philharmonia/all-samples/cello/cello_B5_15_forte_arco-normal.mp3
165,cello,Gs4,./data/philharmonia/all-samples/cello/cello_Gs4_05_pianissimo_arco-normal.mp3
166,cello,A2,./data/philharmonia/all-samples/cello/cello_A2_15_forte_arco-normal.mp3
167,cello,B2,./data/philharmonia/all-samples/cello/cello_B2_025_fortissimo_arco-normal.mp3
168,cello,Fs5,./data/philharmonia/all-samples/cello/cello_Fs5_1_pianissimo_arco-normal.mp3
169,cello,B5,./data/philharmonia/all-samples/cello/cello_B5_1_fortissimo_arco-normal.mp3
170,cello,F5,./data/philharmonia/all-samples/cello/cello_F5_1_mezzo-forte_arco-harmonic.mp3
171,cello,Fs2,./data/philharmonia/all-samples/cello/cello_Fs2_long_piano_arco-major-trill.mp3
172,cello,Cs3,./data/philharmonia/all-samples/cello/cello_Cs3_1_mezzo-piano_non-vibrato.mp3
173,cello,G4,./data/philharmonia/all-samples/cello/cello_G4_025_fortissimo_arco-normal.mp3
174,cello,F3,./data/philharmonia/all-samples/cello/cello_F3_05_pianissimo_arco-normal.mp3
175,cello,Fs4,./data/philharmonia/all-samples/cello/cello_Fs4_05_mezzo-piano_arco-normal.mp3
176,cello,Ds4,./data/philharmonia/all-samples/cello/cello_Ds4_1_mezzo-piano_arco-normal.mp3
177,cello,C5,./data/philharmonia/all-samples/cello/cello_C5_05_mezzo-piano_arco-normal.mp3
178,cello,G2,./data/philharmonia/all-samples/cello/cello_G2_1_forte_arco-normal.mp3
179,cello,C6,./data/philharmonia/all-samples/cello/cello_C6_15_fortissimo_arco-normal.mp3
180,cello,C2,./data/philharmonia/all-samples/cello/cello_C2_phrase_mezzo-forte_arco-col-legno-tratto.mp3
181,cello,Ds5,./data/philharmonia/all-samples/cello/cello_Ds5_15_forte_arco-normal.mp3
182,cello,G3,./data/philharmonia/all-samples/cello/cello_G3_15_fortissimo_arco-normal.mp3
183,cello,Ds2,./data/philharmonia/all-samples/cello/cello_Ds2_05_pianissimo_arco-normal.mp3
184,cello,C3,./data/philharmonia/all-samples/cello/cello_C3_1_mezzo-piano_arco-major-trill.mp3
185,cello,As3,./data/philharmonia/all-samples/cello/cello_As3_15_fortissimo_arco-normal.mp3
186,cello,Ds5,./data/philharmonia/all-samples/cello/cello_Ds5_025_pianissimo_arco-normal.mp3
187,cello,D2,./data/philharmonia/all-samples/cello/cello_D2_15_mezzo-piano_arco-normal.mp3
188,cello,A2,./data/philharmonia/all-samples/cello/cello_A2_05_fortissimo_arco-normal.mp3
189,cello,G2,./data/philharmonia/all-samples/cello/cello_G2_1_pianissimo_arco-normal.mp3
190,cello,F5,./data/philharmonia/all-samples/cello/cello_F5_1_mezzo-piano_arco-normal.mp3
191,cello,Fs2,./data/philharmonia/all-samples/cello/cello_Fs2_1_piano_arco-normal.mp3
192,cello,B2,./data/philharmonia/all-samples/cello/cello_B2_025_pianissimo_arco-normal.mp3
193,cello,Gs4,./data/philharmonia/all-samples/cello/cello_Gs4_05_fortissimo_arco-normal.mp3
194,cello,E6,./data/philharmonia/all-samples/cello/cello_E6_1_mezzo-forte_arco-harmonic.mp3
195,cello,Ds2,./data/philharmonia/all-samples/cello/cello_Ds2_025_mezzo-forte_arco-col-legno-battuto.mp3
196,cello,Gs3,./data/philharmonia/all-samples/cello/cello_Gs3_05_forte_arco-normal.mp3
