name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_430,43,openl3-mel128-512-music,True,16,knn-3,0.950354609929078,0.945945945945946,0.9589041095890408,0.9523809523809524
exp_431,43,openl3-mel128-512-music,True,16,knn-5,0.9716312056737588,0.96,0.9863013698630136,0.9729729729729728
exp_432,43,openl3-mel128-512-music,True,16,knn-7,0.9716312056737588,0.9726027397260274,0.9726027397260274,0.9726027397260274
exp_433,43,openl3-mel128-512-music,True,16,svm-rbf,0.9858156028368794,0.9733333333333334,1.0,0.9864864864864864
exp_434,43,openl3-mel128-512-music,True,16,svm-linear,0.9929078014184396,0.9864864864864864,1.0,0.9931972789115648
exp_435,43,openl3-mel128-512-music,True,16,svm-sigmoid,0.9858156028368794,0.9733333333333334,1.0,0.9864864864864864
exp_436,43,openl3-mel128-512-music,True,16,svm-poly-1,0.9929078014184396,0.9864864864864864,1.0,0.9931972789115648
exp_437,43,openl3-mel128-512-music,True,16,svm-poly-2,0.9078014184397164,0.9411764705882352,0.8767123287671232,0.9078014184397164
exp_438,43,openl3-mel128-512-music,True,16,svm-poly-3,0.9858156028368794,0.9733333333333334,1.0,0.9864864864864864
exp_439,43,openl3-mel128-512-music,True,16,svm-poly-4,0.8794326241134752,0.8181818181818182,0.9863013698630136,0.8944099378881987
