name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_0,0,openl3-mel128-512-music,True,3,knn-3,0.8723404255319149,0.8815789473684209,0.8815789473684209,0.8815789473684209
exp_1,0,openl3-mel128-512-music,True,3,knn-5,0.8652482269503546,0.8701298701298701,0.8815789473684209,0.8758169934640522
exp_2,0,openl3-mel128-512-music,True,3,knn-7,0.8723404255319149,0.8918918918918919,0.8684210526315791,0.88
exp_3,0,openl3-mel128-512-music,True,3,svm-rbf,0.8865248226950354,0.9166666666666666,0.8684210526315791,0.8918918918918918
exp_4,0,openl3-mel128-512-music,True,3,svm-linear,0.9219858156028368,0.9452054794520548,0.9078947368421052,0.9261744966442952
exp_5,0,openl3-mel128-512-music,True,3,svm-sigmoid,0.9007092198581559,0.9428571428571428,0.8684210526315791,0.904109589041096
exp_6,0,openl3-mel128-512-music,True,3,svm-poly-1,0.9078014184397164,0.943661971830986,0.8815789473684209,0.9115646258503399
exp_7,0,openl3-mel128-512-music,True,3,svm-poly-2,0.6028368794326241,0.8571428571428571,0.3157894736842105,0.4615384615384616
exp_8,0,openl3-mel128-512-music,True,3,svm-poly-3,0.8936170212765957,0.9552238805970148,0.8421052631578947,0.8951048951048951
exp_9,0,openl3-mel128-512-music,True,3,svm-poly-4,0.6382978723404256,0.9310344827586208,0.35526315789473684,0.5142857142857142
exp_10,1,openl3-mel128-512-music,True,3,knn-3,0.9361702127659576,0.9444444444444444,0.9315068493150684,0.9379310344827586
exp_11,1,openl3-mel128-512-music,True,3,knn-5,0.9361702127659576,0.9324324324324323,0.9452054794520548,0.9387755102040816
exp_12,1,openl3-mel128-512-music,True,3,knn-7,0.9078014184397164,0.9166666666666666,0.9041095890410958,0.9103448275862068
exp_13,1,openl3-mel128-512-music,True,3,svm-rbf,0.9219858156028368,0.9305555555555556,0.9178082191780822,0.9241379310344828
exp_14,1,openl3-mel128-512-music,True,3,svm-linear,0.9290780141843972,0.92,0.9452054794520548,0.9324324324324323
exp_15,1,openl3-mel128-512-music,True,3,svm-sigmoid,0.9007092198581559,0.9154929577464788,0.8904109589041096,0.9027777777777778
exp_16,1,openl3-mel128-512-music,True,3,svm-poly-1,0.9148936170212766,0.9178082191780822,0.9178082191780822,0.9178082191780822
exp_17,1,openl3-mel128-512-music,True,3,svm-poly-2,0.7163120567375887,0.6774193548387096,0.8630136986301371,0.7590361445783131
exp_18,1,openl3-mel128-512-music,True,3,svm-poly-3,0.9290780141843972,0.92,0.9452054794520548,0.9324324324324323
exp_19,1,openl3-mel128-512-music,True,3,svm-poly-4,0.6950354609929078,0.6470588235294118,0.9041095890410958,0.7542857142857143
exp_20,2,openl3-mel128-512-music,True,3,knn-3,0.9007092198581559,0.8823529411764706,0.9090909090909092,0.8955223880597014
exp_21,2,openl3-mel128-512-music,True,3,knn-5,0.9078014184397164,0.8732394366197183,0.9393939393939394,0.9051094890510948
exp_22,2,openl3-mel128-512-music,True,3,knn-7,0.9007092198581559,0.8714285714285714,0.9242424242424242,0.8970588235294117
exp_23,2,openl3-mel128-512-music,True,3,svm-rbf,0.9007092198581559,0.8823529411764706,0.9090909090909092,0.8955223880597014
exp_24,2,openl3-mel128-512-music,True,3,svm-linear,0.9007092198581559,0.8823529411764706,0.9090909090909092,0.8955223880597014
exp_25,2,openl3-mel128-512-music,True,3,svm-sigmoid,0.8865248226950354,0.8676470588235294,0.8939393939393939,0.8805970149253731
exp_26,2,openl3-mel128-512-music,True,3,svm-poly-1,0.8936170212765957,0.8695652173913043,0.9090909090909092,0.8888888888888891
exp_27,2,openl3-mel128-512-music,True,3,svm-poly-2,0.6737588652482269,0.5961538461538461,0.9393939393939394,0.7294117647058823
exp_28,2,openl3-mel128-512-music,True,3,svm-poly-3,0.8794326241134752,0.8024691358024691,0.9848484848484848,0.8843537414965986
exp_29,2,openl3-mel128-512-music,True,3,svm-poly-4,0.6737588652482269,0.5909090909090909,0.9848484848484848,0.7386363636363638
exp_30,3,openl3-mel128-512-music,True,3,knn-3,0.8652482269503546,0.8840579710144928,0.8472222222222222,0.8652482269503546
exp_31,3,openl3-mel128-512-music,True,3,knn-5,0.851063829787234,0.8923076923076924,0.8055555555555556,0.8467153284671534
exp_32,3,openl3-mel128-512-music,True,3,knn-7,0.8652482269503546,0.8955223880597015,0.8333333333333334,0.8633093525179857
exp_33,3,openl3-mel128-512-music,True,3,svm-rbf,0.8936170212765957,0.9130434782608696,0.875,0.8936170212765957
exp_34,3,openl3-mel128-512-music,True,3,svm-linear,0.8936170212765957,0.8904109589041096,0.9027777777777778,0.8965517241379308
exp_35,3,openl3-mel128-512-music,True,3,svm-sigmoid,0.8297872340425532,0.8636363636363636,0.7916666666666666,0.8260869565217391
exp_36,3,openl3-mel128-512-music,True,3,svm-poly-1,0.8865248226950354,0.8888888888888888,0.8888888888888888,0.8888888888888888
exp_37,3,openl3-mel128-512-music,True,3,svm-poly-2,0.5957446808510638,0.5700934579439252,0.8472222222222222,0.6815642458100558
exp_38,3,openl3-mel128-512-music,True,3,svm-poly-3,0.8794326241134752,0.8985507246376812,0.8611111111111112,0.8794326241134751
exp_39,3,openl3-mel128-512-music,True,3,svm-poly-4,0.5602836879432624,0.543859649122807,0.8611111111111112,0.6666666666666667
exp_40,4,openl3-mel128-512-music,True,3,knn-3,0.8794326241134752,0.8452380952380952,0.9466666666666668,0.8930817610062893
exp_41,4,openl3-mel128-512-music,True,3,knn-5,0.8936170212765957,0.8658536585365854,0.9466666666666668,0.9044585987261148
exp_42,4,openl3-mel128-512-music,True,3,knn-7,0.9078014184397164,0.8780487804878049,0.96,0.9171974522292994
exp_43,4,openl3-mel128-512-music,True,3,svm-rbf,0.9219858156028368,0.8902439024390244,0.9733333333333334,0.929936305732484
exp_44,4,openl3-mel128-512-music,True,3,svm-linear,0.9361702127659576,0.9230769230769232,0.96,0.9411764705882352
exp_45,4,openl3-mel128-512-music,True,3,svm-sigmoid,0.9148936170212766,0.8795180722891566,0.9733333333333334,0.9240506329113924
