name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_0,0,openl3-mel128-512-music,True,3,knn-3,0.9432624113475178,0.9722222222222222,0.9210526315789472,0.9459459459459458
exp_1,0,openl3-mel128-512-music,True,3,knn-5,0.9290780141843972,0.9459459459459459,0.9210526315789472,0.9333333333333332
exp_2,0,openl3-mel128-512-music,True,3,knn-7,0.9361702127659576,0.9589041095890408,0.9210526315789472,0.9395973154362416
exp_3,0,openl3-mel128-512-music,True,3,svm-rbf,0.8581560283687943,0.9375,0.7894736842105263,0.8571428571428572
exp_4,0,openl3-mel128-512-music,True,3,svm-linear,0.9929078014184396,1.0,0.986842105263158,0.9933774834437086
exp_5,0,openl3-mel128-512-music,True,3,svm-sigmoid,0.4609929078014184,0.0,0.0,0.0
exp_6,0,openl3-mel128-512-music,True,3,svm-poly-1,0.7943262411347518,0.9272727272727272,0.6710526315789473,0.7786259541984732
exp_7,0,openl3-mel128-512-music,True,3,svm-poly-2,0.851063829787234,0.9365079365079364,0.7763157894736842,0.8489208633093525
exp_8,0,openl3-mel128-512-music,True,3,svm-poly-3,0.8865248226950354,0.9411764705882352,0.8421052631578947,0.8888888888888888
exp_9,0,openl3-mel128-512-music,True,3,svm-poly-4,0.9007092198581559,0.9428571428571428,0.8684210526315791,0.904109589041096
exp_10,1,openl3-mel128-512-music,True,3,knn-3,0.9787234042553192,0.9710144927536232,0.9852941176470588,0.9781021897810219
exp_11,1,openl3-mel128-512-music,True,3,knn-5,0.9787234042553192,0.9710144927536232,0.9852941176470588,0.9781021897810219
exp_12,1,openl3-mel128-512-music,True,3,knn-7,0.9716312056737588,0.9705882352941176,0.9705882352941176,0.9705882352941176
exp_13,1,openl3-mel128-512-music,True,3,svm-rbf,0.9432624113475178,0.96875,0.9117647058823528,0.9393939393939394
exp_14,1,openl3-mel128-512-music,True,3,svm-linear,0.9929078014184396,0.9855072463768116,1.0,0.9927007299270074
exp_15,1,openl3-mel128-512-music,True,3,svm-sigmoid,0.4822695035460993,0.4822695035460993,1.0,0.6507177033492823
exp_16,1,openl3-mel128-512-music,True,3,svm-poly-1,0.9078014184397164,0.9661016949152542,0.8382352941176471,0.8976377952755905
exp_17,1,openl3-mel128-512-music,True,3,svm-poly-2,0.9361702127659576,0.953846153846154,0.9117647058823528,0.9323308270676692
exp_18,1,openl3-mel128-512-music,True,3,svm-poly-3,0.9361702127659576,0.953846153846154,0.9117647058823528,0.9323308270676692
exp_19,1,openl3-mel128-512-music,True,3,svm-poly-4,0.950354609929078,0.9552238805970148,0.9411764705882352,0.9481481481481482
exp_20,2,openl3-mel128-512-music,True,3,knn-3,0.9787234042553192,1.0,0.96,0.9795918367346941
exp_21,2,openl3-mel128-512-music,True,3,knn-5,0.9787234042553192,1.0,0.96,0.9795918367346941
exp_22,2,openl3-mel128-512-music,True,3,knn-7,0.9716312056737588,1.0,0.9466666666666668,0.9726027397260272
