name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_40,4,openl3-mel128-512-music,True,3,knn-3,0.9574468085106383,0.9480519480519479,0.9733333333333334,0.9605263157894736
exp_41,4,openl3-mel128-512-music,True,3,knn-5,0.9716312056737588,0.9610389610389609,0.9866666666666668,0.9736842105263156
exp_42,4,openl3-mel128-512-music,True,3,knn-7,0.9574468085106383,0.9367088607594936,0.9866666666666668,0.9610389610389609
exp_43,4,openl3-mel128-512-music,True,3,svm-rbf,0.8865248226950354,0.8314606741573034,0.9866666666666668,0.902439024390244
exp_44,4,openl3-mel128-512-music,True,3,svm-linear,0.9858156028368794,0.9866666666666668,0.9866666666666668,0.9866666666666668
exp_45,4,openl3-mel128-512-music,True,3,svm-sigmoid,0.5319148936170213,0.5319148936170213,1.0,0.6944444444444444
exp_46,4,openl3-mel128-512-music,True,3,svm-poly-1,0.8368794326241135,0.7708333333333334,0.9866666666666668,0.8654970760233919
exp_47,4,openl3-mel128-512-music,True,3,svm-poly-2,0.9007092198581559,0.8505747126436781,0.9866666666666668,0.9135802469135804
exp_48,4,openl3-mel128-512-music,True,3,svm-poly-3,0.9361702127659576,0.902439024390244,0.9866666666666668,0.9426751592356688
exp_49,4,openl3-mel128-512-music,True,3,svm-poly-4,0.9432624113475178,0.9135802469135802,0.9866666666666668,0.9487179487179488
