name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_460,46,openl3-mel128-512-music,True,16,knn-3,0.9858156028368794,0.9743589743589745,1.0,0.9870129870129868
exp_461,46,openl3-mel128-512-music,True,16,knn-5,0.9716312056737588,0.95,1.0,0.9743589743589745
exp_462,46,openl3-mel128-512-music,True,16,knn-7,0.9432624113475178,0.925,0.9736842105263158,0.9487179487179488
exp_463,46,openl3-mel128-512-music,True,16,svm-rbf,0.9858156028368794,0.9743589743589745,1.0,0.9870129870129868
exp_464,46,openl3-mel128-512-music,True,16,svm-linear,0.9574468085106383,0.9605263157894736,0.9605263157894736,0.9605263157894736
exp_465,46,openl3-mel128-512-music,True,16,svm-sigmoid,0.9716312056737588,0.9736842105263158,0.9736842105263158,0.9736842105263158
exp_466,46,openl3-mel128-512-music,True,16,svm-poly-1,0.9858156028368794,0.9743589743589745,1.0,0.9870129870129868
exp_467,46,openl3-mel128-512-music,True,16,svm-poly-2,0.8581560283687943,0.8043478260869565,0.9736842105263158,0.8809523809523809
exp_468,46,openl3-mel128-512-music,True,16,svm-poly-3,0.9361702127659576,0.8941176470588236,1.0,0.9440993788819876
exp_469,46,openl3-mel128-512-music,True,16,svm-poly-4,0.8014184397163121,0.74,0.9736842105263158,0.8409090909090909
