name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_203,18,openl3-mel256-512-music,False,,svm-sigmoid,0.9361702127659576,1.0,0.85,0.9189189189189187
exp_201,18,openl3-mel256-512-music,False,,svm-rbf,0.9929078014184396,1.0,0.9833333333333332,0.991596638655462
exp_208,18,openl3-mel256-512-music,False,,svm-poly-4,0.8226950354609929,1.0,0.5833333333333334,0.7368421052631579
exp_207,18,openl3-mel256-512-music,False,,svm-poly-3,0.9574468085106383,1.0,0.9,0.9473684210526316
exp_206,18,openl3-mel256-512-music,False,,svm-poly-2,0.8936170212765957,1.0,0.75,0.8571428571428571
exp_205,18,openl3-mel256-512-music,False,,svm-poly-1,0.9929078014184396,1.0,0.9833333333333332,0.991596638655462
exp_204,18,openl3-mel256-512-music,False,,svm-poly-0,0.5744680851063829,0.0,0.0,0.0
exp_202,18,openl3-mel256-512-music,False,,svm-linear,0.9858156028368794,0.9833333333333332,0.9833333333333332,0.9833333333333332
exp_200,18,openl3-mel256-512-music,False,,knn-7,0.9432624113475178,1.0,0.8666666666666667,0.9285714285714286
exp_199,18,openl3-mel256-512-music,False,,knn-5,0.9290780141843972,1.0,0.8333333333333334,0.9090909090909092
exp_198,18,openl3-mel256-512-music,False,,knn-3,0.9432624113475178,0.9814814814814816,0.8833333333333333,0.9298245614035088
