name,seed,preprocessor,fischer_reweighting,n_components,n_neighbors,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_501,25,vggish,False,2,3,0.8936170212765957,0.9069767441860463,0.9176470588235294,0.912280701754386
exp_500,25,vggish,True,2,3,0.7375886524822695,0.98,0.5764705882352941,0.7259259259259259
exp_519,25,openl3-mel256-6144-music,False,2,3,0.8368794326241135,0.8522727272727273,0.8823529411764706,0.8670520231213872
exp_518,25,openl3-mel256-6144-music,True,2,3,0.8368794326241135,0.984375,0.7411764705882353,0.8456375838926175
exp_517,25,openl3-mel256-6144-env,False,2,3,0.7943262411347518,0.8181818181818182,0.8470588235294118,0.8323699421965318
exp_516,25,openl3-mel256-6144-env,True,2,3,0.8794326241134752,0.9594594594594594,0.8352941176470589,0.8930817610062894
exp_515,25,openl3-mel256-512-music,False,2,3,0.8865248226950354,0.9156626506024096,0.8941176470588236,0.9047619047619048
exp_514,25,openl3-mel256-512-music,True,2,3,0.9007092198581559,1.0,0.8352941176470589,0.9102564102564102
exp_513,25,openl3-mel256-512-env,False,2,3,0.8085106382978723,0.8372093023255814,0.8470588235294118,0.8421052631578947
exp_512,25,openl3-mel256-512-env,True,2,3,0.8581560283687943,1.0,0.7647058823529411,0.8666666666666666
exp_511,25,openl3-mel128-6144-music,False,2,3,0.9219858156028368,0.9204545454545454,0.9529411764705882,0.9364161849710982
exp_510,25,openl3-mel128-6144-music,True,2,3,0.950354609929078,0.975609756097561,0.9411764705882352,0.9580838323353292
exp_509,25,openl3-mel128-6144-env,False,2,3,0.7659574468085106,0.8095238095238095,0.8,0.8047337278106509
exp_508,25,openl3-mel128-6144-env,True,2,3,0.9361702127659576,0.9222222222222224,0.976470588235294,0.9485714285714288
exp_507,25,openl3-mel128-512-music,False,2,3,0.8936170212765957,0.9375,0.8823529411764706,0.9090909090909092
exp_506,25,openl3-mel128-512-music,True,2,3,0.4822695035460993,1.0,0.1411764705882353,0.24742268041237114
exp_505,25,openl3-mel128-512-env,False,2,3,0.9007092198581559,0.9080459770114944,0.9294117647058824,0.9186046511627908
exp_504,25,openl3-mel128-512-env,True,2,3,0.8156028368794326,1.0,0.6941176470588235,0.8194444444444444
exp_503,25,ised,False,2,3,0.8226950354609929,0.8658536585365854,0.8352941176470589,0.8502994011976048
exp_502,25,ised,True,2,3,0.75177304964539,0.890625,0.6705882352941176,0.7651006711409396
