name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_20,1,ised,True,,knn-3,0.9007092198581559,0.8970588235294118,0.8970588235294118,0.8970588235294118
exp_21,1,ised,False,,knn-3,0.8723404255319149,0.8787878787878788,0.8529411764705882,0.8656716417910447
exp_22,1,vggish,True,,knn-3,0.9361702127659576,0.953846153846154,0.9117647058823528,0.9323308270676692
exp_23,1,vggish,False,,knn-3,0.9290780141843972,0.953125,0.8970588235294118,0.9242424242424244
exp_24,1,openl3-mel128-512-env,True,,knn-3,0.9858156028368794,0.9714285714285714,1.0,0.9855072463768116
exp_25,1,openl3-mel128-512-env,False,,knn-3,0.9787234042553192,0.9710144927536232,0.9852941176470588,0.9781021897810219
exp_26,1,openl3-mel128-512-music,True,,knn-3,0.9787234042553192,0.9710144927536232,0.9852941176470588,0.9781021897810219
exp_27,1,openl3-mel128-512-music,False,,knn-3,0.9858156028368794,0.9714285714285714,1.0,0.9855072463768116
exp_28,1,openl3-mel128-6144-env,True,,knn-3,0.9858156028368794,0.9714285714285714,1.0,0.9855072463768116
exp_29,1,openl3-mel128-6144-env,False,,knn-3,0.9787234042553192,0.9710144927536232,0.9852941176470588,0.9781021897810219
exp_30,1,openl3-mel128-6144-music,True,,knn-3,0.9787234042553192,0.9710144927536232,0.9852941176470588,0.9781021897810219
exp_31,1,openl3-mel128-6144-music,False,,knn-3,0.9716312056737588,0.9705882352941176,0.9705882352941176,0.9705882352941176
exp_32,1,openl3-mel256-512-env,True,,knn-3,0.950354609929078,0.9552238805970148,0.9411764705882352,0.9481481481481482
exp_33,1,openl3-mel256-512-env,False,,knn-3,0.9645390070921984,0.9701492537313432,0.9558823529411764,0.962962962962963
exp_34,1,openl3-mel256-512-music,True,,knn-3,0.9787234042553192,0.9710144927536232,0.9852941176470588,0.9781021897810219
exp_35,1,openl3-mel256-512-music,False,,knn-3,0.9787234042553192,0.9577464788732394,1.0,0.9784172661870504
exp_36,1,openl3-mel256-6144-env,True,,knn-3,0.9858156028368794,0.9714285714285714,1.0,0.9855072463768116
exp_37,1,openl3-mel256-6144-env,False,,knn-3,0.9858156028368794,0.9714285714285714,1.0,0.9855072463768116
exp_38,1,openl3-mel256-6144-music,True,,knn-3,0.9858156028368794,0.9714285714285714,1.0,0.9855072463768116
exp_39,1,openl3-mel256-6144-music,False,,knn-3,0.9858156028368794,0.9714285714285714,1.0,0.9855072463768116
