name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_0,0,ised,True,3,knn-3,0.8226950354609929,0.8591549295774648,0.8026315789473685,0.8299319727891157
exp_1,0,ised,False,3,knn-3,0.8085106382978723,0.8888888888888888,0.7368421052631579,0.8057553956834532
exp_2,0,vggish,True,3,knn-3,0.8865248226950354,0.8947368421052632,0.8947368421052632,0.8947368421052632
exp_3,0,vggish,False,3,knn-3,0.8581560283687943,0.8888888888888888,0.8421052631578947,0.8648648648648649
exp_4,0,openl3-mel128-512-env,True,3,knn-3,0.9432624113475178,0.9722222222222222,0.9210526315789472,0.9459459459459458
exp_5,0,openl3-mel128-512-env,False,3,knn-3,0.8014184397163121,0.8636363636363636,0.75,0.8028169014084506
exp_6,0,openl3-mel128-512-music,True,3,knn-3,0.8723404255319149,0.8815789473684209,0.8815789473684209,0.8815789473684209
exp_7,0,openl3-mel128-512-music,False,3,knn-3,0.8085106382978723,0.8356164383561644,0.8026315789473685,0.8187919463087249
exp_8,0,openl3-mel128-6144-env,True,3,knn-3,0.9432624113475178,0.9594594594594594,0.9342105263157896,0.9466666666666668
exp_9,0,openl3-mel128-6144-env,False,3,knn-3,0.8085106382978723,0.8266666666666667,0.8157894736842105,0.8211920529801323
exp_10,0,openl3-mel128-6144-music,True,3,knn-3,0.9290780141843972,0.9342105263157896,0.9342105263157896,0.9342105263157896
exp_11,0,openl3-mel128-6144-music,False,3,knn-3,0.8936170212765957,0.9066666666666666,0.8947368421052632,0.9006622516556291
exp_12,0,openl3-mel256-512-env,True,3,knn-3,0.8723404255319149,0.8918918918918919,0.8684210526315791,0.88
exp_13,0,openl3-mel256-512-env,False,3,knn-3,0.7730496453900709,0.8142857142857143,0.75,0.7808219178082193
exp_14,0,openl3-mel256-512-music,True,3,knn-3,0.8439716312056738,0.8857142857142857,0.8157894736842105,0.8493150684931505
