name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_380,19,ised,True,3,knn-3,0.8794326241134752,0.8857142857142857,0.8732394366197183,0.8794326241134751
exp_381,19,ised,False,3,knn-3,0.7659574468085106,0.7714285714285715,0.7605633802816901,0.7659574468085106
exp_382,19,vggish,True,3,knn-3,0.8723404255319149,0.8955223880597015,0.8450704225352113,0.8695652173913043
exp_383,19,vggish,False,3,knn-3,0.8794326241134752,0.8970588235294118,0.8591549295774648,0.8776978417266187
exp_384,19,openl3-mel128-512-env,True,3,knn-3,0.8794326241134752,0.8970588235294118,0.8591549295774648,0.8776978417266187
exp_385,19,openl3-mel128-512-env,False,3,knn-3,0.7943262411347518,0.8181818181818182,0.7605633802816901,0.7883211678832117
exp_386,19,openl3-mel128-512-music,True,3,knn-3,0.9078014184397163,0.9264705882352942,0.8873239436619719,0.906474820143885
exp_387,19,openl3-mel128-512-music,False,3,knn-3,0.8368794326241135,0.8243243243243243,0.8591549295774648,0.8413793103448276
exp_388,19,openl3-mel128-6144-env,True,3,knn-3,0.9290780141843972,0.9295774647887324,0.9295774647887324,0.9295774647887324
exp_389,19,openl3-mel128-6144-env,False,3,knn-3,0.8226950354609929,0.8484848484848485,0.7887323943661971,0.8175182481751825
exp_390,19,openl3-mel128-6144-music,True,3,knn-3,0.9148936170212766,0.9402985074626866,0.8873239436619719,0.9130434782608696
exp_391,19,openl3-mel128-6144-music,False,3,knn-3,0.8723404255319149,0.8732394366197183,0.8732394366197183,0.8732394366197183
exp_392,19,openl3-mel256-512-env,True,3,knn-3,0.8652482269503546,0.8823529411764706,0.8450704225352113,0.8633093525179857
exp_393,19,openl3-mel256-512-env,False,3,knn-3,0.8439716312056738,0.8356164383561644,0.8591549295774648,0.8472222222222222
exp_394,19,openl3-mel256-512-music,True,3,knn-3,0.8581560283687943,0.84,0.8873239436619719,0.863013698630137
exp_395,19,openl3-mel256-512-music,False,3,knn-3,0.7730496453900709,0.7468354430379747,0.8309859154929577,0.7866666666666666
exp_396,19,openl3-mel256-6144-env,True,3,knn-3,0.9290780141843972,0.9295774647887324,0.9295774647887324,0.9295774647887324
exp_397,19,openl3-mel256-6144-env,False,3,knn-3,0.8297872340425532,0.8309859154929577,0.8309859154929577,0.8309859154929577
exp_398,19,openl3-mel256-6144-music,True,3,knn-3,0.900709219858156,0.8904109589041096,0.9154929577464789,0.9027777777777778
exp_399,19,openl3-mel256-6144-music,False,3,knn-3,0.900709219858156,0.9014084507042254,0.9014084507042254,0.9014084507042254
