name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_134,33,True,ised_features,2,0.7943262411347518,0.7391304347826086,0.8225806451612904,0.7786259541984734,2,3
exp_133,33,False,vggish,2,0.8226950354609929,0.7534246575342466,0.8870967741935484,0.8148148148148148,2,3
exp_132,33,True,vggish,2,0.8652482269503546,0.8307692307692308,0.8709677419354839,0.8503937007874016,2,3
exp_135,33,False,ised_features,2,0.6737588652482269,0.6025641025641025,0.7580645161290323,0.6714285714285715,2,3
exp_139,34,False,ised_features,2,0.6737588652482269,0.6619718309859155,0.6811594202898551,0.6714285714285715,2,3
exp_137,34,False,vggish,2,0.8865248226950354,0.9076923076923076,0.855072463768116,0.8805970149253731,2,3
exp_136,34,True,vggish,2,0.8865248226950354,0.8955223880597015,0.8695652173913043,0.8823529411764706,2,3
exp_138,34,True,ised_features,2,0.8226950354609929,0.8548387096774194,0.7681159420289855,0.8091603053435115,2,3
exp_143,35,False,ised_features,2,0.5673758865248227,0.5373134328358209,0.5454545454545454,0.5413533834586466,2,3
exp_142,35,True,ised_features,2,0.7730496453900709,0.7833333333333333,0.7121212121212122,0.7460317460317459,2,3
exp_140,35,True,vggish,2,0.9078014184397164,0.9206349206349206,0.8787878787878788,0.8992248062015504,2,3
exp_141,35,False,vggish,2,0.7659574468085106,0.7704918032786885,0.7121212121212122,0.7401574803149605,2,3
exp_128,32,True,vggish,2,0.8865248226950354,0.9117647058823528,0.8611111111111112,0.8857142857142858,2,3
exp_129,32,False,vggish,2,0.8226950354609929,0.8309859154929577,0.8194444444444444,0.8251748251748252,2,3
exp_130,32,True,ised_features,2,0.851063829787234,0.9047619047619048,0.7916666666666666,0.8444444444444444,2,3
exp_131,32,False,ised_features,2,0.7234042553191491,0.7323943661971831,0.7222222222222222,0.7272727272727272,2,3
exp_175,43,False,ised_features,2,0.6170212765957447,0.6103896103896104,0.6619718309859155,0.6351351351351351,2,3
exp_172,43,True,vggish,2,0.8581560283687943,0.8695652173913043,0.8450704225352113,0.8571428571428571,2,3
exp_173,43,False,vggish,2,0.8368794326241135,0.8870967741935484,0.7746478873239436,0.8270676691729323,2,3
exp_174,43,True,ised_features,2,0.6950354609929078,0.6842105263157895,0.7323943661971831,0.7074829931972789,2,3
exp_178,44,True,ised_features,2,0.6808510638297872,0.6885245901639344,0.6176470588235294,0.6511627906976745,2,3
exp_176,44,True,vggish,2,0.8865248226950354,0.90625,0.8529411764705882,0.8787878787878787,2,3
exp_177,44,False,vggish,2,0.8368794326241135,0.8571428571428571,0.7941176470588235,0.8244274809160305,2,3
exp_179,44,False,ised_features,2,0.6808510638297872,0.6949152542372882,0.6029411764705882,0.6456692913385826,2,3
exp_87,21,False,ised_features,2,0.6808510638297872,0.6764705882352942,0.6666666666666666,0.6715328467153284,2,3
exp_86,21,True,ised_features,2,0.6808510638297872,0.6764705882352942,0.6666666666666666,0.6715328467153284,2,3
