,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,525,2,0,0,0,4,0,2,0,0,0,0,1,0,4,3,2,1,11
1,1,601,0,4,0,1,1,11,0,0,0,0,15,1,1,9,0,0,1
2,0,0,146,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0
3,1,1,3,700,6,1,8,0,1,0,0,2,9,4,2,1,5,0,0
4,5,1,7,1,535,5,0,0,0,0,0,0,0,0,0,3,1,2,2
5,8,0,1,9,4,540,0,0,1,0,0,1,0,2,2,3,1,2,1
6,1,4,0,8,1,0,647,0,0,0,0,0,13,7,0,9,3,0,1
7,2,6,0,0,0,1,0,294,0,0,0,0,11,0,2,3,0,0,0
8,0,0,0,0,6,3,5,0,533,0,0,0,1,1,3,0,3,6,2
9,0,0,18,0,0,0,0,0,0,64,9,0,0,0,0,0,0,0,0
10,0,0,14,0,0,0,1,0,0,7,56,0,0,0,0,0,0,0,0
11,0,0,0,2,0,0,2,0,0,0,0,388,6,0,3,1,6,0,0
12,2,14,0,9,1,0,5,6,0,0,0,0,563,4,3,9,2,1,0
13,8,12,2,5,1,7,9,8,0,2,4,0,15,531,1,12,1,2,0
14,20,0,0,3,0,2,4,6,10,0,0,0,10,3,502,3,1,0,1
15,5,6,1,3,0,4,7,1,0,0,0,0,35,5,7,680,2,0,3
16,1,0,0,3,3,1,4,0,15,0,0,0,8,1,3,3,516,1,3
17,9,2,0,1,3,7,0,1,2,0,0,0,1,1,1,1,1,334,10
18,31,0,0,3,10,5,0,0,0,0,0,1,3,0,3,3,7,10,634
