name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_0,0,vggish,True,1,knn-3,0.8723404255319149,0.8852459016393442,0.8307692307692308,0.8571428571428572
exp_1,0,vggish,True,2,knn-3,0.8439716312056738,0.8208955223880597,0.8461538461538461,0.8333333333333334
exp_2,0,vggish,True,3,knn-3,0.8865248226950354,0.8769230769230769,0.8769230769230769,0.8769230769230769
exp_3,0,vggish,True,4,knn-3,0.8936170212765957,0.8472222222222222,0.9384615384615383,0.8905109489051095
exp_4,0,vggish,False,1,knn-3,0.7375886524822695,0.7058823529411765,0.7384615384615385,0.7218045112781954
exp_5,0,vggish,False,2,knn-3,0.851063829787234,0.8235294117647058,0.8615384615384616,0.8421052631578948
exp_6,0,vggish,False,3,knn-3,0.8581560283687943,0.8260869565217391,0.8769230769230769,0.8507462686567164
exp_7,0,vggish,False,4,knn-3,0.8723404255319149,0.8507462686567164,0.8769230769230769,0.8636363636363636
exp_8,1,vggish,True,1,knn-3,0.8794326241134752,0.8923076923076924,0.8529411764705882,0.8721804511278195
exp_9,1,vggish,True,2,knn-3,0.8794326241134752,0.918032786885246,0.8235294117647058,0.868217054263566
exp_10,1,vggish,True,3,knn-3,0.9290780141843972,0.967741935483871,0.8823529411764706,0.923076923076923
exp_11,1,vggish,True,4,knn-3,0.9361702127659576,0.9402985074626866,0.9264705882352942,0.9333333333333336
exp_12,1,vggish,False,1,knn-3,0.7163120567375887,0.7058823529411765,0.7058823529411765,0.7058823529411765
exp_13,1,vggish,False,2,knn-3,0.8581560283687943,0.875,0.8235294117647058,0.8484848484848485
exp_14,1,vggish,False,3,knn-3,0.8865248226950354,0.9193548387096774,0.8382352941176471,0.8769230769230769
exp_15,1,vggish,False,4,knn-3,0.8794326241134752,0.9047619047619048,0.8382352941176471,0.8702290076335878
exp_16,2,vggish,True,1,knn-3,0.9007092198581559,0.8860759493670886,0.9333333333333332,0.9090909090909092
exp_17,2,vggish,True,2,knn-3,0.8865248226950354,0.9041095890410958,0.88,0.8918918918918919
exp_18,2,vggish,True,3,knn-3,0.9148936170212766,0.943661971830986,0.8933333333333333,0.9178082191780824
exp_19,2,vggish,True,4,knn-3,0.9219858156028368,0.9571428571428572,0.8933333333333333,0.9241379310344828
exp_20,2,vggish,False,1,knn-3,0.7234042553191491,0.7727272727272727,0.68,0.7234042553191491
exp_21,2,vggish,False,2,knn-3,0.851063829787234,0.8552631578947368,0.8666666666666667,0.8609271523178809
exp_22,2,vggish,False,3,knn-3,0.9007092198581559,0.9178082191780822,0.8933333333333333,0.9054054054054056
exp_23,2,vggish,False,4,knn-3,0.9078014184397164,0.9305555555555556,0.8933333333333333,0.91156462585034
exp_24,3,vggish,True,1,knn-3,0.851063829787234,0.8695652173913043,0.8333333333333334,0.851063829787234
exp_25,3,vggish,True,2,knn-3,0.8226950354609929,0.8051948051948052,0.8611111111111112,0.8322147651006712
exp_26,3,vggish,True,3,knn-3,0.8652482269503546,0.8354430379746836,0.9166666666666666,0.8741721854304636
exp_27,3,vggish,True,4,knn-3,0.8368794326241135,0.810126582278481,0.8888888888888888,0.847682119205298
exp_28,3,vggish,False,1,knn-3,0.6879432624113475,0.6794871794871795,0.7361111111111112,0.7066666666666668
exp_29,3,vggish,False,2,knn-3,0.8652482269503546,0.8354430379746836,0.9166666666666666,0.8741721854304636
exp_30,3,vggish,False,3,knn-3,0.8723404255319149,0.8552631578947368,0.9027777777777778,0.8783783783783783
exp_31,3,vggish,False,4,knn-3,0.8652482269503546,0.8441558441558441,0.9027777777777778,0.87248322147651
exp_32,4,vggish,True,1,knn-3,0.8865248226950354,0.890625,0.8636363636363636,0.8769230769230768
exp_33,4,vggish,True,2,knn-3,0.8652482269503546,0.8852459016393442,0.8181818181818182,0.8503937007874016
exp_34,4,vggish,True,3,knn-3,0.9007092198581559,0.90625,0.8787878787878788,0.8923076923076922
exp_35,4,vggish,True,4,knn-3,0.8936170212765957,0.8923076923076924,0.8787878787878788,0.8854961832061069
exp_36,4,vggish,False,1,knn-3,0.7304964539007093,0.7592592592592593,0.6212121212121212,0.6833333333333333
exp_37,4,vggish,False,2,knn-3,0.8865248226950354,0.9032258064516128,0.8484848484848485,0.875
exp_38,4,vggish,False,3,knn-3,0.8865248226950354,0.9464285714285714,0.803030303030303,0.8688524590163934
exp_39,4,vggish,False,4,knn-3,0.9078014184397164,0.9344262295081968,0.8636363636363636,0.8976377952755905
exp_40,5,vggish,True,1,knn-3,0.8368794326241135,0.8888888888888888,0.7777777777777778,0.8296296296296296
exp_41,5,vggish,True,2,knn-3,0.8439716312056738,0.9032258064516128,0.7777777777777778,0.8358208955223879
exp_42,5,vggish,True,3,knn-3,0.8652482269503546,0.9491525423728814,0.7777777777777778,0.8549618320610687
exp_43,5,vggish,True,4,knn-3,0.8865248226950354,0.9516129032258064,0.8194444444444444,0.8805970149253732
exp_44,5,vggish,False,1,knn-3,0.7801418439716312,0.8253968253968254,0.7222222222222222,0.7703703703703704
exp_45,5,vggish,False,2,knn-3,0.8652482269503546,0.8955223880597015,0.8333333333333334,0.8633093525179857
exp_46,5,vggish,False,3,knn-3,0.8368794326241135,0.8888888888888888,0.7777777777777778,0.8296296296296296
exp_47,5,vggish,False,4,knn-3,0.8794326241134752,0.9230769230769232,0.8333333333333334,0.8759124087591241
exp_48,6,vggish,True,1,knn-3,0.8581560283687943,0.9016393442622952,0.7971014492753623,0.8461538461538461
exp_49,6,vggish,True,2,knn-3,0.8936170212765957,0.8970588235294118,0.8840579710144928,0.8905109489051095
