,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,419,7,1,3,0,1,0,4,3,4,1,0,3,2,5,0,1,0,1
1,6,554,7,1,4,2,0,3,8,1,1,8,4,2,0,0,3,0,0
2,10,14,728,0,3,1,2,1,7,1,1,7,0,2,3,1,2,0,1
3,12,2,5,482,3,0,0,1,0,0,0,1,2,0,2,0,0,0,2
4,0,3,9,2,595,0,0,6,0,0,1,16,2,2,0,0,2,0,2
5,8,5,2,0,1,626,0,0,6,1,3,3,1,0,9,0,1,0,1
6,0,0,0,0,0,0,163,0,1,0,0,0,0,0,0,15,0,26,2
7,3,3,7,16,13,0,0,490,1,1,0,6,7,0,0,0,2,1,1
8,19,7,36,2,3,4,0,0,505,6,0,2,1,3,2,0,5,0,0
9,6,7,20,0,2,2,0,0,20,672,0,2,0,5,5,0,0,0,0
10,2,1,4,2,0,3,0,1,0,0,368,0,2,0,0,0,4,0,0
11,3,5,2,20,10,4,0,8,1,0,0,497,2,2,0,0,0,0,3
12,3,0,1,5,5,2,0,5,2,0,0,2,454,0,0,0,1,0,0
13,2,23,9,1,1,0,0,2,4,20,1,3,0,320,0,0,0,0,0
14,9,2,17,1,1,27,1,0,11,1,4,0,0,0,672,0,2,0,1
15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,58,0,4,0
16,2,1,7,0,7,1,0,7,3,1,5,0,2,0,8,0,542,0,0
17,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,12,0,68,0
18,1,5,2,4,5,3,0,1,1,0,1,4,2,0,2,0,0,0,523
