,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,488,0,0,1,0,0,4,1,0,2,0,3,0,2,0,2,7,1,1
1,0,163,15,0,0,26,0,0,0,2,1,0,0,0,0,0,0,0,0
2,0,13,58,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,693,2,0,11,2,0,0,14,1,0,5,5,0,4,4,0
4,0,0,0,2,629,0,2,4,1,1,7,0,3,10,0,1,5,2,0
5,0,12,12,0,0,68,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,4,1,4,3,1,727,8,2,1,8,3,1,3,2,0,5,10,1
7,21,0,0,0,4,0,3,501,0,3,1,9,0,0,2,2,0,4,7
8,1,0,0,1,1,0,6,0,553,0,1,6,3,6,0,2,1,0,5
9,4,0,0,0,3,0,2,6,0,528,1,3,1,1,0,2,1,2,0
10,3,0,0,9,4,0,35,3,5,0,512,3,0,2,3,1,12,3,0
11,2,0,0,0,0,0,9,24,4,4,0,585,0,0,2,2,0,2,6
12,2,0,0,2,3,0,2,0,4,0,0,0,370,0,0,2,1,1,0
13,2,1,0,1,28,0,18,0,2,3,11,1,4,674,0,0,4,0,0
14,1,0,0,22,0,0,10,5,0,0,2,2,1,0,329,0,2,10,2
15,5,0,0,0,2,0,1,2,1,0,2,5,0,0,0,455,2,0,5
16,8,0,0,5,3,0,4,4,1,3,3,0,2,7,2,5,400,5,3
17,1,0,0,2,3,0,16,17,3,0,15,6,1,0,3,5,5,524,3
18,16,0,0,1,0,1,7,9,2,2,1,13,0,0,1,10,3,2,483
