,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,163,0,0,0,2,0,0,0,18,0,23,0,0,1,0,0,0,0,0
1,0,422,0,2,2,2,0,4,0,4,0,2,0,2,3,4,2,4,2
2,0,1,555,8,0,5,2,0,0,5,0,2,5,1,0,0,0,0,2
3,2,9,2,752,0,0,0,2,1,3,0,0,2,8,0,1,7,7,1
4,0,0,1,2,532,0,1,0,0,1,0,3,4,0,2,0,2,2,4
5,0,1,6,6,5,499,1,1,0,0,0,11,10,1,3,0,5,0,0
6,0,2,2,5,0,0,372,0,0,0,0,3,0,0,0,0,0,1,2
7,0,10,0,18,0,0,0,685,0,5,0,0,0,10,0,4,2,3,4
8,15,0,0,0,0,0,0,0,54,0,6,0,0,0,0,0,0,0,0
9,1,8,3,18,4,0,3,1,0,679,0,0,0,8,1,0,1,0,23
10,16,0,0,0,0,0,0,0,10,0,66,0,0,1,0,0,0,0,0
11,0,3,3,1,0,4,0,0,0,0,0,459,4,2,1,0,1,1,1
12,0,0,2,9,5,8,0,0,0,2,0,2,587,0,1,4,17,1,2
13,0,17,5,30,0,1,0,8,0,6,0,2,1,510,2,3,2,3,5
14,0,9,0,7,6,3,0,0,0,2,0,3,3,0,476,0,1,1,1
15,0,1,0,12,0,3,0,17,0,0,0,2,2,4,0,336,1,8,0
16,0,1,0,5,4,9,0,1,0,0,0,5,11,1,18,1,494,3,4
17,0,4,2,20,1,6,0,2,0,0,0,5,5,8,1,5,15,525,5
18,1,6,1,5,1,0,3,1,0,23,0,2,0,7,0,0,2,5,612
